cluster,long,lat,region
153,38.76617145,9.047988937,Addis Adaba
154,36.23731273,7.277336668,SNNPR
155,38.8006105,9.014409361,Addis Adaba
156,38.68810875,13.84868481,Tigray
157,42.12308011,9.314859649,Harari
158,37.58466477,11.79302566,Amhara
159,38.74923811,9.002244941,Addis Adaba
160,39.45791787,13.19726521,Tigray
161,36.43562992,9.384162528,Benishangul
162,37.88102629,6.963669824,SNNPR
163,37.70793894,12.13826369,Amhara
164,43.52797942,5.848372932,Somali
165,34.50323927,9.973018213,Benishangul
166,41.898978,9.510583,Dire Dawa
167,37.52088148,11.29330048,Amhara
168,35.32510856,7.223847396,Gambela
169,37.31304258,11.69982849,Amhara
170,38.75991061,9.048134386,Addis Adaba
171,43.9200338,7.403585363,Somali
172,40.04368547,13.24813307,Afar
173,42.09301836,9.324051979,Harari
174,37.69458415,8.053771556,SNNPR
175,34.81880408,9.060100358,Oromia
176,38.60672523,10.88867438,Amhara
177,35.67017233,7.634557504,SNNPR
178,41.09517383,11.73099988,Afar
179,42.11046138,9.301576527,Harari
180,37.62487953,6.72010797,SNNPR
181,38.28290601,14.10162711,Tigray
182,38.182217,5.973339,SNNPR
183,35.94031694,10.54098348,Benishangul
184,36.21877729,10.26734019,Benishangul
185,41.86984393,9.597057425,Dire Dawa
186,42.55336472,9.292184577,Somali
187,42.09515849,6.441557849,Somali
188,38.18538416,13.66927236,Tigray
189,39.92837445,11.74858809,Afar
190,41.83987512,9.608699561,Dire Dawa
191,40.01789862,11.60101237,Afar
192,39.72953835,14.23183107,Afar
193,34.44525046,9.363288075,Benishangul
194,42.14812706,9.310902405,Harari
195,38.72774296,9.00691708,Addis Adaba
196,39.72299987,13.8785871,Tigray
197,35.24939305,7.194843983,Gambela
198,43.84686127,7.459813888,Somali
199,38.35798412,12.37693568,Amhara
200,39.58058779,12.13319179,Amhara
201,39.61782884,9.646166552,Amhara
202,41.88956746,9.577615533,Dire Dawa
203,34.5552934,10.05649936,Benishangul
204,38.18938778,8.159209659,SNNPR
205,40.99747964,11.72688639,Afar
206,38.27267245,10.70968704,Amhara
207,36.13385925,7.220845255,SNNPR
208,41.59974142,4.006702942,Somali
209,34.84163366,10.18921375,Benishangul
210,42.70623277,9.365382382,Somali
211,38.82313909,9.00229314,Addis Adaba
212,42.23014634,9.313126052,Harari
213,39.54906963,7.841476818,Oromia
214,43.47029699,8.595599532,Somali
215,38.29419087,6.72183945,SNNPR
216,38.36092696,6.856666379,SNNPR
217,38.48814333,8.425885735,SNNPR
218,37.77719703,10.0637851,Amhara
219,34.55572962,7.827468476,Gambela
220,39.55129952,13.5729717,Tigray
221,34.58515234,8.243521153,Gambela
223,37.93939174,7.775278061,SNNPR
224,41.87068598,9.608122373,Dire Dawa
225,38.74553128,8.972906895,Addis Adaba
226,39.42550566,13.97156169,Tigray
227,37.13257239,7.55723995,Oromia
228,42.11379998,9.313405902,Harari
229,38.16145828,10.33145008,Amhara
230,40.16771051,9.336075803,Afar
231,34.58823431,8.22889736,Gambela
232,38.30610589,6.12590686,SNNPR
233,33.8863365,8.229234306,Gambela
234,37.36718611,9.054550284,Oromia
235,39.99126003,13.75002752,Afar
236,38.77850326,8.883803055,Addis Adaba
237,39.46637177,13.48788442,Tigray
238,42.12091125,9.342113642,Harari
239,43.37909426,8.751617718,Somali
240,42.12836917,9.301651732,Harari
241,40.03794741,12.00071176,Afar
242,42.042954,9.541209,Dire Dawa
243,35.319823,7.254973,Gambela
244,35.75806273,10.4877956,Benishangul
245,40.35266555,8.591910898,Oromia
246,36.27631748,10.7473916,Benishangul
247,38.7807484,9.039609632,Addis Adaba
248,34.767792,8.989284526,Oromia
249,39.8517582,12.3358957,Afar
